ubigeo,distrito,provincia,departamento,n_active,n_emergency,area_km2,dist_km_nearest_emergency,dist_km_nearest_any,fac_score,activity_score,emerg_atenciones,access_score,pct_ccpp_within_15km_any,composite_score,tier
130608,MACHE,OTUZCO,LA LIBERTAD,3,0,37.4,5.494,0.572,89.10329171396141,44.5800227014756,0.0,60.130533484676505,100.0,63.4860953461975,Best served
130610,PARANDAY,OTUZCO,LA LIBERTAD,1,0,22.22,14.898,1.206,81.04426787741204,44.5800227014756,0.0,60.130533484676505,100.0,61.47133938706016,Best served
130611,SALPO,OTUZCO,LA LIBERTAD,4,0,196.03,16.174,2.678,59.988649262202046,44.5800227014756,0.0,60.130533484676505,100.0,56.207434733257664,Moderately served
130613,SINSICAP,OTUZCO,LA LIBERTAD,3,0,455.02,28.959,5.371,25.936435868331444,44.5800227014756,0.0,60.130533484676505,100.0,47.69438138479001,Weakly served
130614,USQUIL,OTUZCO,LA LIBERTAD,10,0,468.18,25.28,0.664,61.634506242905786,44.5800227014756,0.0,60.130533484676505,100.0,56.6188989784336,Moderately served
130701,SAN PEDRO DE LLOC,PACASMAYO,LA LIBERTAD,4,0,685.79,19.65,12.63,23.552780930760502,44.5800227014756,0.0,60.130533484676505,100.0,47.09846765039728,Weakly served
130702,GUADALUPE,PACASMAYO,LA LIBERTAD,7,1,168.27,5.409,1.952,79.73893303064699,92.67877412031783,10443.0,60.130533484676505,100.0,73.16969353007946,Best served
130703,JEQUETEPEQUE,PACASMAYO,LA LIBERTAD,2,0,48.99,5.933,2.023,79.17139614074915,44.5800227014756,0.0,60.130533484676505,100.0,61.00312145289444,Best served
130704,PACASMAYO,PACASMAYO,LA LIBERTAD,4,2,34.68,1.868,1.868,91.77071509648127,93.35981838819524,15346.0,60.130533484676505,100.0,76.34790011350738,Best served
130705,SAN JOSE,PACASMAYO,LA LIBERTAD,3,0,179.14,17.286,8.182,53.17820658342792,44.5800227014756,0.0,60.130533484676505,100.0,54.50482406356413,Moderately served
130801,TAYABAMBA,PATAZ,LA LIBERTAD,4,1,338.17,6.62,1.985,43.01929625425653,89.21679909194098,332.0,60.130533484676505,100.0,63.12429057888763,Best served
130802,BUILDIBUYO,PATAZ,LA LIBERTAD,4,0,230.07,18.759,1.398,54.76730987514189,44.5800227014756,0.0,60.130533484676505,100.0,54.90209988649262,Moderately served
